"No.","Time","Source","Destination","Protocol","Length","Info"
"82","3.524555","10.192.157.147","10.192.157.113","DNS","79","Standard query 0x8a2d AAAA pc-mon.zijieapi.com"
"84","3.555510","10.192.157.113","10.192.157.147","DNS","207","Standard query response 0x8a2d AAAA pc-mon.zijieapi.com CNAME pc-mon.zijieapi.com.bytedns1.com CNAME pc-mon.zijieapi.com.51296c5e.c.cdnhwc2.com CNAME hcdndyn.zjtd04.v4.c.cdnhwc2.com"
"115","4.435118","10.192.157.147","10.192.157.113","DNS","74","Standard query 0xab55 A opt.doubao.com"
"116","4.435393","10.192.157.147","10.192.157.113","DNS","74","Standard query 0xf352 AAAA opt.doubao.com"
"118","4.474453","10.192.157.113","10.192.157.147","DNS","277","Standard query response 0xab55 A opt.doubao.com CNAME opt.doubao.com.bytedns3.com CNAME opt.doubao.com.c.dsa.cdnbuild.net CNAME l7-online-self-max-v6.s.dsa.cdnbuild.net A 180.130.240.209 A 180.130.240.216 A 180.130.240.229 A 180.130.240.230 A 180.130.240.236"
"119","4.478308","2408:846c:17c6:22:6010:f2a:ab34:719a","2408:846c:17c6:22::ef","DNS","94","Standard query 0xf352 AAAA opt.doubao.com"
"121","4.481137","10.192.157.113","10.192.157.147","DNS","336","Standard query response 0xf352 AAAA opt.doubao.com CNAME opt.doubao.com.bytedns3.com CNAME opt.doubao.com.230b2a2545cfa773.w.cdngslb.com AAAA 2408:876c:200:131:3::7b AAAA 2408:876c:200:130:3::72 AAAA 2408:876c:200:130:3::71 AAAA 2408:876c:200:131:3::7c AAAA 2408:876c:280:142:3::16 AAAA 2408:876c:280:142:3::17"
"123","4.516632","2408:846c:17c6:22::ef","2408:846c:17c6:22:6010:f2a:ab34:719a","DNS","357","Standard query response 0xf352 AAAA opt.doubao.com CNAME opt.doubao.com.bytedns3.com CNAME opt.doubao.com.c.dsa.cdnbuild.net CNAME l7-online-self-max-v6.s.dsa.cdnbuild.net AAAA 2408:876c:240:118::b00:113 AAAA 2408:876c:240:118::b00:131 AAAA 2408:876c:240:118::b00:135 AAAA 2408:876c:240:118::b00:68 AAAA 2408:876c:240:118::b00:82"
"128","5.031220","10.192.157.147","10.192.157.113","DNS","78","Standard query 0x9a38 A scan-live.vivo.com"
"129","5.031885","10.192.157.147","10.192.157.113","DNS","78","Standard query 0x7b80 AAAA scan-live.vivo.com"
"130","5.070490","10.192.157.113","10.192.157.147","DNS","110","Standard query response 0x9a38 A scan-live.vivo.com A 123.125.51.51 A 123.125.50.163"
"131","5.070490","10.192.157.113","10.192.157.147","DNS","78","Standard query response 0x7b80 AAAA scan-live.vivo.com"
"221","15.529281","10.192.157.147","10.192.157.113","DNS","71","Standard query 0x1337 A cn.bing.com"
"222","15.529497","10.192.157.147","10.192.157.113","DNS","71","Standard query 0xf57d AAAA cn.bing.com"
"223","15.560545","2408:846c:17c6:22:6010:f2a:ab34:719a","2408:846c:17c6:22::ef","DNS","91","Standard query 0x1337 A cn.bing.com"
"224","15.560545","2408:846c:17c6:22:6010:f2a:ab34:719a","2408:846c:17c6:22::ef","DNS","91","Standard query 0xf57d AAAA cn.bing.com"
"225","15.598804","10.192.157.113","10.192.157.147","DNS","150","Standard query response 0xf57d AAAA cn.bing.com CNAME cnbing-cn.bing.com.trafficmanager.net CNAME china.bing123.com"
"226","15.605163","10.192.157.113","10.192.157.147","DNS","182","Standard query response 0x1337 A cn.bing.com CNAME cnbing-cn.bing.com.trafficmanager.net CNAME china.bing123.com A 202.89.233.100 A 202.89.233.101"
"227","15.605163","2408:846c:17c6:22::ef","2408:846c:17c6:22:6010:f2a:ab34:719a","DNS","170","Standard query response 0xf57d AAAA cn.bing.com CNAME cnbing-cn.bing.com.trafficmanager.net CNAME china.bing123.com"
"229","15.607059","2408:846c:17c6:22::ef","2408:846c:17c6:22:6010:f2a:ab34:719a","DNS","202","Standard query response 0x1337 A cn.bing.com CNAME cnbing-cn.bing.com.trafficmanager.net CNAME china.bing123.com A 202.89.233.101 A 202.89.233.100"
"297","21.583850","10.192.157.147","10.192.157.113","DNS","92","Standard query 0x57d6 A mobile.events.data.microsoft.com"
"298","21.584350","10.192.157.147","10.192.157.113","DNS","92","Standard query 0xd62b AAAA mobile.events.data.microsoft.com"
"299","21.623383","2408:846c:17c6:22:6010:f2a:ab34:719a","2408:846c:17c6:22::ef","DNS","112","Standard query 0xd62b AAAA mobile.events.data.microsoft.com"
"300","21.623383","2408:846c:17c6:22:6010:f2a:ab34:719a","2408:846c:17c6:22::ef","DNS","112","Standard query 0x57d6 A mobile.events.data.microsoft.com"
